Image_No,Image_Name,Landslide,fallen_Tree,Struc_Damage,Garbage,Coverage,Visibility,Occlusion,Scene Context,Side,Distance
1,image_0001.jpg,1,0,0,0,3,3,2,3,1,1
2,image_0002.jpg,1,0,0,0,3,3,2,2,1,0
3,image_0003.jpg,1,0,0,0,3,3,2,3,0,1
4,image_0004.jpg,1,0,0,0,3,1,2,3,1,2
5,image_0005.jpg,1,0,0,0,3,3,2,3,2,1
6,image_0006.jpg,1,0,0,0,3,2,1,3,2,1
7,image_0007.jpg,1,0,0,0,3,1,1,3,2,2
8,image_0008.jpg,1,0,0,0,3,3,2,2,1,1
9,image_0009.jpg,1,0,0,0,3,3,2,2,1,1
10,image_0010.jpg,1,0,0,0,0,3,2,1,1,0
11,image_0011.jpg,1,0,0,0,2,3,3,1,2,0
12,image_0012.jpg,1,0,0,0,3,3,3,2,2,1
13,image_0013.jpg,1,0,0,0,2,3,3,1,2,0
14,image_0014.jpg,1,0,0,0,2,3,3,1,1,0
15,image_0015.jpg,1,0,0,0,2,3,2,1,0,0
16,image_0016.jpg,1,0,0,0,2,3,2,1,2,0
17,image_0017.jpg,1,0,0,0,3,3,3,2,2,1
18,image_0018.jpg,1,0,0,0,3,3,2,2,0,1
19,image_0019.jpg,1,0,0,0,3,3,3,2,1,1
20,image_0020.jpg,1,0,0,0,3,3,2,2,0,1
21,image_0021.jpg,1,0,0,0,1,3,2,1,2,0
22,image_0022.jpg,1,0,0,0,3,3,3,2,0,1
23,image_0023.jpg,1,0,0,0,3,3,3,2,0,1
24,image_0024.jpg,1,0,0,0,3,3,3,3,0,1
25,image_0025.jpg,1,0,0,0,3,3,3,2,0,1
26,image_0026.jpg,1,0,0,0,3,3,3,2,0,1
27,image_0027.jpg,1,0,0,0,3,3,3,3,0,2
28,image_0028.jpg,1,0,0,0,1,2,3,1,0,0
29,image_0029.jpg,1,1,0,0,0,1,3,1,0,0
30,image_0030.jpg,1,1,0,0,2,2,3,2,0,0
31,image_0031.jpg,1,1,0,0,1,2,3,1,0,0
32,image_0032.jpg,1,1,0,0,1,2,3,1,0,0
33,image_0033.jpg,1,0,0,0,1,2,3,1,0,0
34,image_0034.jpg,1,0,0,0,3,3,2,2,2,1
35,image_0035.jpg,1,0,0,0,2,3,2,1,2,0
36,image_0036.jpg,1,0,0,0,3,3,2,2,2,1
37,image_0037.jpg,1,1,0,0,3,2,1,3,1,1
38,image_0038.jpg,1,1,0,0,3,3,2,2,1,1
39,image_0039.jpg,1,1,0,0,3,3,2,2,1,1
40,image_0040.jpg,1,1,0,0,2,2,2,2,0,1
41,image_0041.jpg,1,0,0,0,1,2,3,1,1,0
42,image_0042.jpg,1,0,0,0,1,2,3,1,1,0
43,image_0043.jpg,1,0,0,1,3,3,3,3,1,1
44,image_0044.jpg,1,0,0,1,3,3,3,3,1,1
45,image_0045.jpg,1,0,0,1,2,3,3,1,1,0
46,image_0046.jpg,1,0,0,0,1,2,3,1,1,0
47,image_0047.jpg,1,0,0,0,1,2,3,1,1,0
48,image_0048.jpg,1,0,0,1,2,3,3,1,1,0
49,image_0049.jpg,1,0,0,1,3,3,3,3,1,1
50,image_0050.jpg,1,0,0,1,2,3,3,2,1,1
51,image_0051.jpg,1,0,0,1,2,3,3,2,1,1
52,image_0052.jpg,1,0,0,1,3,3,3,2,1,1
53,image_0053.jpg,1,0,0,1,3,3,3,2,1,1
54,image_0054.jpg,1,0,0,1,2,3,3,2,1,1
55,image_0055.jpg,1,0,0,0,1,1,2,0,1,0
56,image_0056.jpg,1,0,0,0,1,1,2,1,1,0
57,image_0057.jpg,1,1,0,0,3,3,3,2,2,1
58,image_0058.jpg,1,1,0,0,1,2,3,1,1,1
59,image_0059.jpg,1,1,0,0,2,3,3,1,1,0
60,image_0060.jpg,1,1,0,0,3,3,3,2,1,1
61,image_0061.jpg,1,1,0,0,2,3,3,2,2,1
62,image_0062.jpg,1,1,0,0,2,3,3,2,1,1
63,image_0063.jpg,1,1,0,0,3,3,3,3,1,1
64,image_0064.jpg,1,0,0,0,0,1,3,1,2,0
65,image_0065.jpg,1,0,0,0,0,2,3,0,1,0
66,image_0066.jpg,1,1,0,0,1,3,3,1,1,0
67,image_0067.jpg,1,1,0,0,1,3,3,1,0,0
68,image_0068.jpg,1,1,0,0,1,3,3,1,0,0
69,image_0069.jpg,1,1,0,0,1,2,3,1,1,0
70,image_0070.jpg,1,1,0,0,2,2,3,1,1,0
71,image_0071.jpg,1,0,0,0,3,0,2,2,2,2
72,image_0072.jpg,1,0,0,0,3,1,2,1,1,1
73,image_0073.jpg,1,0,0,0,3,0,2,2,2,2
74,image_0074.jpg,1,0,0,0,3,1,2,1,1,1
75,image_0075.jpg,1,0,0,0,1,2,3,1,1,0
76,image_0076.jpg,1,1,0,0,2,3,3,2,1,1
77,image_0077.jpg,1,1,0,0,3,3,3,2,1,2
78,image_0078.jpg,1,1,0,0,2,3,3,2,1,0
79,image_0079.jpg,1,1,0,0,3,3,3,2,1,1
80,image_0080.jpg,1,0,0,0,2,3,3,1,1,0
81,image_0081.jpg,1,0,0,0,2,3,3,1,1,0
82,image_0082.jpg,1,1,0,0,3,3,3,2,1,1
83,image_0083.jpg,1,0,0,0,2,3,3,1,1,0
84,image_0084.jpg,1,0,0,0,3,3,3,2,1,1
85,image_0085.jpg,1,1,0,0,3,3,3,2,0,1
86,image_0086.jpg,1,1,0,0,2,2,3,2,1,0
87,image_0087.jpg,1,1,0,0,3,2,3,2,1,1
88,image_0088.jpg,1,1,0,0,3,2,3,2,1,1
89,image_0089.jpg,1,0,0,0,3,3,3,2,1,1
90,image_0090.jpg,1,0,0,0,2,3,3,1,2,0
91,image_0091.jpg,1,0,0,0,2,3,3,1,2,0
92,image_0092.jpg,1,0,0,0,3,3,3,1,2,0
93,image_0093.jpg,1,0,0,0,2,3,3,1,1,1
94,image_0094.jpg,1,0,0,0,3,3,3,1,1,1
95,image_0095.jpg,1,1,0,0,3,3,3,1,1,0
96,image_0096.jpg,1,0,0,0,1,1,3,1,1,0
97,image_0097.jpg,1,0,0,0,2,3,3,1,1,0
98,image_0098.jpg,1,0,0,0,2,3,3,1,0,0
99,image_0099.jpg,1,0,0,0,3,3,3,2,0,1
100,image_0100.jpg,1,0,0,0,3,3,3,2,0,1
101,image_0101.jpg,1,0,0,0,3,3,3,2,0,1
102,image_0102.jpg,1,0,0,0,3,3,3,2,0,1
103,image_0103.jpg,1,0,0,0,3,3,3,2,1,1
104,image_0104.jpg,1,0,0,0,3,2,3,3,0,1
105,image_0105.jpg,1,0,0,0,3,2,3,3,0,1
106,image_0106.jpg,1,0,0,0,2,3,3,2,1,1
107,image_0107.jpg,1,0,0,0,1,2,3,2,1,0
108,image_0108.jpg,0,1,0,0,3,3,3,3,2,1
109,image_0109.jpg,0,1,0,0,2,3,3,1,1,1
110,image_0110.jpg,0,1,0,0,3,3,3,3,2,1
111,image_0111.jpg,0,1,0,0,3,3,3,3,3,2
112,image_0112.jpg,0,1,0,0,2,3,3,1,1,1
113,image_0113.jpg,0,1,0,0,3,3,3,2,1,0
114,image_0114.jpg,0,1,0,0,3,1,3,3,0,2
115,image_0115.jpg,0,1,0,0,3,3,3,1,1,0
116,image_0116.jpg,0,1,0,0,3,1,3,3,0,1
117,image_0117.jpg,1,1,0,0,3,2,2,3,2,2
118,image_0118.jpg,1,1,0,0,2,3,1,1,1,0
119,image_0119.jpg,1,1,0,0,3,3,2,1,1,1
120,image_0120.jpg,1,0,0,0,1,2,3,1,1,1
121,image_0121.jpg,1,1,0,0,3,2,1,3,1,1
122,image_0122.jpg,1,1,0,0,3,3,2,2,1,0
123,image_0123.jpg,1,1,0,0,3,2,1,3,1,2
124,image_0124.jpg,1,0,0,0,2,2,2,1,1,0
125,image_0125.jpg,1,1,0,0,1,2,1,1,1,0
126,image_0126.jpg,1,0,0,0,1,2,1,1,1,0
127,image_0127.jpg,1,1,0,0,2,3,1,1,1,1
128,image_0128.jpg,1,1,0,0,3,3,1,1,1,1
129,image_0129.jpg,1,0,0,0,3,3,3,3,2,1
130,image_0130.jpg,1,0,0,0,3,3,3,2,1,1
131,image_0131.jpg,1,0,0,0,3,3,3,2,1,1
132,image_0132.jpg,0,1,0,0,3,3,3,3,1,1
133,image_0133.jpg,0,1,0,0,3,3,3,1,1,0
134,image_0134.jpg,0,1,0,0,3,3,3,2,1,1
135,image_0135.jpg,1,1,0,0,2,2,3,1,2,1
136,image_0136.jpg,1,1,0,0,2,2,3,1,2,1
137,image_0137.jpg,1,0,0,0,3,3,2,2,1,1
138,image_0138.jpg,1,0,0,0,1,3,2,2,1,1
139,image_0139.jpg,1,0,0,0,2,3,2,1,2,1
140,image_0140.jpg,1,0,0,0,3,3,2,1,1,1
141,image_0141.jpg,1,0,0,0,1,3,2,1,1,0
142,image_0142.jpg,1,0,0,0,2,3,2,1,1,1
143,image_0143.jpg,1,0,0,0,1,2,2,0,1,0
144,image_0144.jpg,1,0,0,0,1,2,2,0,1,0
145,image_0145.jpg,1,0,0,0,1,2,2,0,1,0
146,image_0146.jpg,1,0,0,0,2,3,2,1,1,1
147,image_0147.jpg,1,0,0,0,1,3,2,1,1,1
148,image_0148.jpg,1,0,0,0,2,2,3,3,0,1
149,image_0149.jpg,1,0,0,0,2,3,3,1,1,0
150,image_0150.jpg,1,1,0,0,3,3,3,2,1,1
151,image_0151.jpg,1,1,0,0,3,3,3,3,1,1
152,image_0152.jpg,1,1,0,0,3,3,3,0,1,0
153,image_0153.jpg,1,1,0,0,3,3,3,2,1,1
154,image_0154.jpg,1,1,0,0,3,3,3,2,0,1
155,image_0155.jpg,1,1,0,0,2,3,3,0,1,0
156,image_0156.jpg,1,1,0,0,3,2,3,3,1,2
157,image_0157.jpg,1,1,0,0,3,2,3,3,0,2
158,image_0158.jpg,1,1,0,0,3,2,3,3,1,1
159,image_0159.jpg,1,0,0,0,3,1,3,3,2,2
160,image_0160.jpg,1,0,0,0,3,2,3,3,1,1
161,image_0161.jpg,1,0,0,0,3,2,3,1,1,1
162,image_0162.jpg,1,0,0,0,3,2,2,3,1,2
163,image_0163.jpg,1,0,0,0,3,2,2,2,1,1
164,image_0164.jpg,1,0,0,0,3,2,2,3,1,2
165,image_0165.jpg,1,0,0,0,2,2,3,1,1,0
166,image_0166.jpg,1,0,0,0,3,2,2,2,1,1
167,image_0167.jpg,1,0,0,0,2,2,3,0,1,0
168,image_0168.jpg,1,0,0,0,3,2,3,2,1,1
169,image_0169.jpg,1,0,0,0,2,2,3,1,1,1
170,image_0170.jpg,1,0,0,0,2,2,3,1,1,1
171,image_0171.jpg,1,0,0,0,3,2,3,2,1,1
172,image_0172.jpg,1,0,0,0,3,2,3,2,1,1
173,image_0173.jpg,1,0,0,0,1,2,3,0,1,0
174,image_0174.jpg,1,0,0,0,3,3,3,1,1,1
175,image_0175.jpg,1,0,0,0,3,3,3,3,1,1
176,image_0176.jpg,1,0,0,0,3,3,3,3,1,1
177,image_0177.jpg,1,0,0,0,3,3,3,1,1,1
178,image_0178.jpg,1,0,0,0,3,3,3,3,1,1
179,image_0179.jpg,1,0,0,0,3,3,3,1,1,1
180,image_0180.jpg,1,0,0,0,3,3,3,3,1,1
181,image_0181.jpg,1,0,0,0,3,3,3,1,1,1
182,image_0182.jpg,1,0,0,0,3,3,3,2,0,1
183,image_0183.jpg,1,0,0,0,3,3,3,2,0,1
184,image_0184.jpg,1,0,0,0,1,2,3,0,1,0
185,image_0185.jpg,1,1,0,0,3,3,3,3,1,2
186,image_0186.jpg,1,1,0,0,3,3,3,2,1,1
187,image_0187.jpg,1,0,0,0,2,2,2,3,2,2
188,image_0188.jpg,1,0,0,0,1,2,3,0,1,0
189,image_0189.jpg,1,0,0,0,1,2,3,0,1,0
190,image_0190.jpg,1,0,0,0,2,3,2,1,1,1
191,image_0191.jpg,1,0,0,0,2,3,2,1,1,1
192,image_0192.jpg,1,0,0,0,2,3,2,2,2,1
193,image_0193.jpg,1,0,0,0,2,3,2,1,1,1
194,image_0194.jpg,1,0,0,0,1,3,2,0,1,0
195,image_0195.jpg,1,0,0,0,2,3,2,2,2,1
196,image_0196.jpg,1,0,1,0,2,3,3,1,1,0
197,image_0197.jpg,1,0,1,0,2,3,3,1,1,0
198,image_0198.jpg,1,0,1,0,2,3,3,1,1,0
199,image_0199.jpg,1,0,1,0,2,3,3,1,1,0
200,image_0200.jpg,1,0,1,0,1,3,3,1,1,0
201,image_0201.jpg,1,0,1,0,0,2,3,0,1,0
202,image_0202.jpg,1,0,1,0,2,3,3,1,1,0
203,image_0203.jpg,1,0,1,0,2,3,3,1,1,0
204,image_0204.jpg,1,0,1,0,2,3,2,1,1,0
205,image_0205.jpg,1,0,1,0,2,3,2,1,1,0
206,image_0206.jpg,1,0,1,0,2,3,2,1,1,0
207,image_0207.jpg,1,0,0,0,1,2,3,0,1,0
208,image_0208.jpg,1,0,1,0,2,3,2,1,1,0
209,image_0209.jpg,1,0,1,0,1,3,2,1,1,0
210,image_0210.jpg,1,0,1,0,1,2,2,0,1,0
211,image_0211.jpg,1,0,0,0,1,2,2,0,1,0
212,image_0212.jpg,1,0,1,0,2,3,3,0,1,0
213,image_0213.jpg,1,0,1,0,2,3,3,0,1,0
214,image_0214.jpg,1,0,1,0,2,3,3,0,1,0
215,image_0215.jpg,0,0,0,0,3,3,3,0,1,0
216,image_0216.jpg,0,0,0,0,3,3,3,0,1,0
217,image_0217.jpg,0,0,0,0,3,3,3,0,1,1
218,image_0218.jpg,0,0,0,0,3,3,3,0,1,0
219,image_0219.jpg,0,1,0,0,3,1,3,2,1,1
220,image_0220.jpg,0,1,0,0,3,2,3,1,1,0
221,image_0221.jpg,0,1,0,0,3,3,3,3,1,1
222,image_0222.jpg,0,1,0,0,3,3,3,3,1,2
223,image_0223.jpg,0,1,0,0,3,3,3,3,1,1
224,image_0224.jpg,0,1,0,0,3,3,3,3,1,1
225,image_0225.jpg,0,1,0,0,3,3,3,3,1,1
226,image_0226.jpg,0,1,0,0,3,3,3,3,1,1
227,image_0227.jpg,1,0,0,0,2,1,1,1,1,1
228,image_0228.jpg,1,0,0,0,2,1,1,1,1,0
229,image_0229.jpg,1,0,0,0,2,1,1,0,1,0
230,image_0230.jpg,1,0,0,0,1,1,2,0,1,0
231,image_0231.jpg,1,0,0,0,2,2,3,0,1,0
232,image_0232.jpg,1,0,0,0,3,3,3,1,1,0
233,image_0233.jpg,1,0,0,0,2,2,3,0,1,0
234,image_0234.jpg,1,0,0,0,1,0,1,3,0,2
235,image_0235.jpg,1,0,0,0,1,1,1,1,0,1
236,image_0236.jpg,1,0,0,0,2,2,2,1,1,1
237,image_0237.jpg,1,0,0,0,2,2,3,0,1,0
238,image_0238.jpg,1,0,0,0,2,2,3,0,1,0
239,image_0239.jpg,1,0,0,0,3,3,3,3,1,1
240,image_0240.jpg,1,0,0,0,2,2,3,0,1,0
241,image_0241.jpg,1,0,0,0,3,2,2,0,1,0
242,image_0242.jpg,1,0,0,0,2,2,2,0,1,0
243,image_0243.jpg,0,1,0,0,3,1,3,3,1,2
244,image_0244.jpg,0,1,0,1,3,3,3,2,1,1
245,image_0245.jpg,0,1,0,1,2,2,3,1,1,0
246,image_0246.jpg,1,0,0,0,0,0,0,1,1,2
247,image_0247.jpg,1,0,0,0,2,3,3,1,1,0
248,image_0248.jpg,1,0,0,0,3,3,3,1,1,0
249,image_0249.jpg,0,1,0,0,3,3,3,2,1,1
250,image_0250.jpg,0,1,0,1,3,3,3,2,1,2
251,image_0251.jpg,1,0,0,0,3,3,3,1,1,0
252,image_0252.jpg,1,0,0,0,1,2,3,1,1,0
253,image_0253.jpg,1,0,0,0,3,2,3,1,1,0
254,image_0254.jpg,1,0,0,0,1,2,3,1,1,0
255,image_0255.jpg,1,0,0,0,1,2,3,1,1,0
256,image_0256.jpg,0,0,0,0,0,0,3,0,2,1
257,image_0257.jpg,0,0,0,0,0,0,3,0,2,0
258,image_0258.jpg,0,0,0,0,0,0,3,0,2,2
259,image_0259.jpg,0,0,0,0,0,0,3,0,2,1
260,image_0260.jpg,0,1,0,0,3,3,3,2,0,1
261,image_0261.jpg,0,1,0,0,3,3,3,2,0,1
262,image_0262.jpg,0,1,0,0,3,3,3,2,0,0
263,image_0263.jpg,0,1,0,0,3,3,3,1,0,0
264,image_0264.jpg,0,1,0,0,3,2,3,1,0,0
265,image_0265.jpg,0,1,0,0,2,2,3,1,2,1
266,image_0266.jpg,0,1,0,0,1,2,3,1,2,0
267,image_0267.jpg,0,1,0,0,3,2,3,2,2,2
268,image_0268.jpg,1,1,0,0,3,2,3,3,2,2
269,image_0269.jpg,0,1,0,0,2,3,3,2,2,1
270,image_0270.jpg,1,1,0,0,3,3,3,3,2,1
271,image_0271.jpg,1,1,0,0,3,3,3,3,2,1
272,image_0272.jpg,1,1,0,0,3,3,3,2,2,1
273,image_0273.jpg,0,1,0,0,2,3,3,1,1,0
274,image_0274.jpg,0,1,0,0,2,3,3,1,1,0
275,image_0275.jpg,1,1,0,0,3,3,3,3,2,2
276,image_0276.jpg,1,1,0,0,3,2,3,2,2,2
277,image_0277.jpg,1,1,0,0,3,1,3,3,1,2
278,image_0278.jpg,1,1,0,0,3,3,3,3,1,1
279,image_0279.jpg,1,1,0,0,3,3,3,2,1,1
280,image_0280.jpg,1,1,0,0,2,3,3,2,1,1
281,image_0281.jpg,1,1,0,0,1,3,3,1,1,1
282,image_0282.jpg,1,1,0,0,2,3,3,1,1,1
283,image_0283.jpg,0,1,0,0,2,2,3,2,2,1
284,image_0284.jpg,0,1,0,1,3,3,3,2,2,2
285,image_0285.jpg,0,1,0,1,3,3,3,3,2,2
286,image_0286.jpg,0,1,0,1,3,1,3,3,2,2
287,image_0287.jpg,0,1,0,1,2,3,3,1,2,0
288,image_0288.jpg,1,0,0,1,3,2,3,1,2,0
289,image_0289.jpg,1,0,0,1,2,3,3,1,2,0
290,image_0290.jpg,0,1,0,0,2,3,3,1,1,1
291,image_0291.jpg,0,1,0,0,1,2,3,1,1,1
292,image_0292.jpg,0,1,0,0,1,1,3,1,1,1
