Image_Num,Name,Visibility,Quality,Blur,Brightness,Noise,Contrast,Compression,Sharpness,Exposure,Quality score
1,image_0001.jpg,1,1,1,1,1,1,1,1,1,
2,image_0002.jpg,1,1,1,1,1,1,1,1,1,
3,image_0003.jpg,1,1,1,1,1,1,1,1,1,
4,image_0004.jpg,1,1,1,1,1,1,1,1,1,
5,image_0005.jpg,1,1,1,1,2,1,1,1,1,
6,image_0006.jpg,1,1,1,1,2,1,1,1,1,
7,image_0007.jpg,1,1,1,1,1,1,1,1,1,
8,image_0008.jpg,1,1,1,1,1,1,1,1,1,
9,image_0009.jpg,1,1,1,1,1,1,1,1,1,
10,image_0010.jpg,0,1,1,1,1,1,1,1,1,
11,image_0011.jpg,0,1,1,1,1,1,1,1,1,
12,image_0012.jpg,0,1,1,1,1,1,1,1,1,
13,image_0013.jpg,0,1,1,1,1,1,1,1,1,
14,image_0014.jpg,1,1,1,1,1,1,1,1,1,
15,image_0015.jpg,0,1,1,1,1,1,1,1,1,
16,image_0016.jpg,0,1,1,1,1,1,1,1,1,
17,image_0017.jpg,0,1,1,1,1,1,1,1,1,
18,image_0018.jpg,0,1,1,1,1,1,1,1,1,
19,image_0019.jpg,0,1,1,1,1,1,1,1,1,
20,image_0020.jpg,0,1,1,1,1,1,1,1,1,
21,image_0021.jpg,0,1,1,1,1,1,1,1,1,
22,image_0022.jpg,0,1,1,1,1,1,1,1,1,
23,image_0023.jpg,0,1,1,1,1,1,1,1,1,
24,image_0024.jpg,0,1,1,1,1,1,1,1,1,
25,image_0025.jpg,0,1,1,1,1,1,1,1,1,
26,image_0026.jpg,1,1,1,1,1,1,1,1,1,
27,image_0027.jpg,0,1,1,1,1,1,1,1,1,
28,image_0028.jpg,0,1,1,1,1,1,1,1,1,
29,image_0029.jpg,1,1,1,1,1,1,1,1,1,
30,image_0030.jpg,0,1,1,1,1,1,1,1,1,
31,image_0031.jpg,0,0,1,1,1,1,1,1,1,
32,image_0032.jpg,0,0,1,3,1,1,1,1,1,
33,image_0033.jpg,0,1,1,1,1,1,1,1,1,
34,image_0034.jpg,0,1,1,1,1,1,1,1,1,
35,image_0035.jpg,0,1,1,1,1,1,1,1,1,
36,image_0036.jpg,0,1,1,1,1,1,1,1,1,
