Image_Num,Name,Visibility,Quality,Type,Blur,Brightness,Noise,Contrast,Compression,Sharpness,Exposure
1,image_0001.jpg,1,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,image_0002.jpg,1,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,image_0003.jpg,1,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,image_0004.jpg,1,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,image_0005.jpg,1,1,,1.0,1.0,2.0,1.0,1.0,1.0,1.0
6,image_0006.jpg,1,1,,1.0,1.0,2.0,1.0,1.0,1.0,1.0
7,image_0007.jpg,1,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,image_0008.jpg,1,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,image_0009.jpg,1,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,image_0010.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,image_0011.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,image_0012.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,image_0013.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,image_0014.jpg,1,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,image_0015.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,image_0016.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,image_0017.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,image_0018.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,image_0019.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,image_0020.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,image_0021.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,image_0022.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,image_0023.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,image_0024.jpg,0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
