Image_Num,Name,Visibility,Quality,Blur,Brightness,Noise,Contrast,Compression,Sharpness,Exposure,Equal_Weight_Score,Correlation_Weight_Score,RandomForest_Weight_Score,BRISQUE_Score,NIQE_Score,PIQE_Score
1,image_0001.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581820467699,5.51988642274746,23.40779388737
2,image_0002.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.66543493888431,24.5168504525514
3,image_0003.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819817411,5.85925242605372,25.3637846138962
4,image_0004.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819921774,5.48478283345099,21.2111012676308
5,image_0005.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.458181982974,9.12811389031523,34.4116714089627
6,image_0006.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819823353,9.54304914073564,36.1975542006362
7,image_0007.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819888097,5.65042244382944,23.7905364581125
8,image_0008.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4523460206934,4.00973934367088,20.4804865197858
9,image_0009.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4484417836404,3.99484860531685,20.4243361502311
10,image_0010.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.443089072956,3.92439486095518,20.1869149251577
11,image_0011.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4500267751743,4.019512014363,20.2770831483779
12,image_0012.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819864883,5.02110511914828,29.3143181416131
13,image_0013.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581821578784,5.01839965320289,22.2766564363439
14,image_0014.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.3133036969815,3.92916809274738,17.615522490797
15,image_0015.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.1928125124807,4.27205193468421,21.6857451588021
16,image_0016.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.458182006564,5.04490659432354,30.9382352330563
17,image_0017.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581820052346,5.03789488407604,29.3171182436272
18,image_0018.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819825902,4.95676662195355,29.9492218501111
19,image_0019.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4220121008659,3.63537471338375,19.3551453941134
20,image_0020.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4421993754912,3.91117413708728,20.004790819517
21,image_0021.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4520394204482,3.98894723019495,20.4430213170364
22,image_0022.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.0793839396192,3.58866045688301,18.9470592338424
23,image_0023.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819816414,5.21217053444395,27.9982107907001
24,image_0024.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819833974,5.09197739157083,26.0076179617322
25,image_0025.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581820619859,5.09860654880653,29.3601481767894
26,image_0026.jpg,1,1,1,1,1,1,1,1,1,1,1,1,42.9827398117193,3.57962787536888,17.1293952927487
27,image_0027.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581836900562,4.90511447327332,24.4752706800442
28,image_0028.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581881886379,4.42516982060933,26.7185370248686
29,image_0029.jpg,1,1,1,1,1,1,1,1,1,1,1,1,38.106875510017,3.21415733942054,15.6134587235423
30,image_0030.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.74550385378798,26.0253625771346
31,image_0031.jpg,0,0,1,1,1,1,1,1,1,1,1,1,43.4581819815664,4.65124910064076,22.3938448091485
32,image_0032.jpg,0,0,1,3,1,1,1,1,1,1.285714286,1.249544452,1.331113697,37.6498879008803,3.13247566683619,19.4016709440885
33,image_0033.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.0655922442215,3.36638372139896,21.8421887857463
34,image_0034.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.00843616284071,26.2397116847729
35,image_0035.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.458181981892,4.8600337267037,28.9066574848048
36,image_0036.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,4.78009474867756,26.6987263179473
37,image_0037.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.05297982426928,25.2021532038976
38,image_0038.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819821379,4.60183710749381,23.00979887081
39,image_0039.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,4.82683196140406,21.764628173674
40,image_0040.jpg,1,1,1,3,1,1,1,1,1,1.285714286,1.249544452,1.331113697,43.4575514354361,3.99200259271902,22.665808059673
41,image_0041.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,4.99991428336189,27.149255818338
